Artista,Stile Predominante,Numero di Opere
a-mishra,abstract art,3
a-y-jackson,art nouveau (modern),18
abbott-handerson-thayer,realism,81
abdul-mati-klarwein,magic realism,30
abdullah-suriosubroto,realism,18
abidin-dino,abstract expressionism,18
abraham-manievich,post-impressionism,30
abraham-storck,baroque,56
abraham-van-strij,neoclassicism,37
achille-zo,academicism,6
ad-reinhardt,color field painting,15
adalbert-erdeli,post-impressionism,31
adalbert-schaffer,academicism,12
adam-baltatu,impressionism,51
adam-elsheimer,baroque,76
adam-van-der-meulen,baroque,9
adam-van-noort,mannerism (late renaissance),5
adja-yunkers,abstract expressionism,8
adnan-coker,abstract art,25
adolf-dietrich,naïve art (primitivism),27
adolf-fleischmann,expressionism,2
adolf-hiremy-hirschl,realism,17
adolph-menzel,realism,23
adolphe-joseph-thomas-monticelli,romanticism,38
adriaen-brouwer,baroque,37
adriaen-van-de-velde,baroque,34
adriaen-van-de-venne,baroque,27
adriaen-van-ostade,baroque,84
adrian-ghenie,neo-expressionism,19
adrien-dax,art informel,7
aelbert-cuyp,baroque,17
afewerk-tekle,expressionism,6
afro,art informel,20
agim-sulaj,contemporary realism,9
agnes-goodsir,post-impressionism,13
agnes-lawrence-pelton,post-impressionism,2
agnes-martin,minimalism,54
agnolo-bronzino,mannerism (late renaissance),79
agostino-carracci,baroque,50
agostino-tassi,baroque,8
ahmed-mhennaoui,neo-expressionism,20
aki-kuroda,abstract expressionism,17
akira-kanayama,art informel,6
akkitham-narayanan,abstract art,17
akseli-gallen-kallela,romanticism,12
al-held,abstract expressionism,3
alaa-awad,neo-expressionism,13
aladar-korosfoi-kriesch,art nouveau (modern),9
alan-charlton,minimalism,11
albert-anker,realism,99
albert-aublet,impressionism,5
albert-benua,romanticism,14
albert-bierstadt,romanticism,34
albert-bitran,lyrical abstraction,16
albert-bloch,expressionism,49
albert-dubois-pillet,impressionism,3
albert-gleizes,cubism,27
albert-huie,post-impressionism,9
albert-irvin,abstract expressionism,15
albert-joseph-moore,academicism,43
albert-julius-olsson,impressionism,28
albert-marquet,post-impressionism,40
albert-pinkham-ryder,symbolism,5
albert-rafols-casamada,art informel,28
albert-tucker,expressionism,4
alberto-burri,art informel,8
alberto-giacometti,expressionism,14
alberto-gironella,surrealism,7
alberto-magnelli,abstract art,19
alberto-sughi,expressionism,9
albin-brunovsky,surrealism,20
albin-egger-lienz,expressionism,54
albrecht-adam,romanticism,30
albrecht-altdorfer,northern renaissance,65
albrecht-durer,northern renaissance,817
aldemir-martins,naïve art (primitivism),32
aldo-mondino,pop art,14
alejandro-cabeza,contemporary realism,24
alejandro-obregon,surrealism,10
alekos-kontopoulos,abstract art,26
aleksander-gierymski,realism,13
aleksandr-deyneka,realism,4
aleksandra-ekster,art nouveau (modern),4
aleksey-antropov,baroque,30
aleksey-ivanovich-korzukhin,realism,44
aleksey-savrasov,realism,234
alex-colville,contemporary realism,34
alex-hay,minimalism,8
alexander-bazhbeuk-melikyan,expressionism,5
alexander-belyaev,realism,4
alexander-boghossian,surrealism,9
alexander-calder,abstract art,29
alexander-ivanov,academicism,62
alexander-khvostenko-khvostov,art nouveau (modern),14
alexander-liberman,abstract expressionism,3
alexander-orlowski,romanticism,32
alexander-pope,romanticism,18
alexander-roitburd,cubism,1
alexandre-benois,art nouveau (modern),45
alexandre-cabanel,academicism,27
alexandre-gabriel-decamps,romanticism,19
alexandre-jacovleff,expressionism,44
alexandre-jacques-chantron,academicism,8
alexej-von-jawlensky,expressionism,30
alexey-bogolyubov,realism,25
alexey-venetsianov,realism,73
alexey-zubov,baroque,8
alfred-dehodencq,romanticism,32
alfred-freddy-krupa,contemporary realism,9
alfred-jensen,abstract expressionism,27
alfred-krupa-0,expressionism,26
alfred-kubin,symbolism,21
alfred-manessier,art informel,38
alfred-parsons,realism,20
alfred-roller,art nouveau (modern),14
alfred-sisley,impressionism,417
alfred-stevens,romanticism,57
alfred-wallis,naïve art (primitivism),163
alfredo-andersen,impressionism,27
alfredo-volpi,naïve art (primitivism),11
algernon-talmage,impressionism,34
ali-akbar-sadeghi,surrealism,3
ali-omar-ermes,lyrical abstraction,12
alice-baber,abstract expressionism,18
alice-bailly,cubism,4
alice-neel,expressionism,21
alighiero-boetti,art informel,15
alla-horska,expressionism,9
allan-d-arcangelo,pop art,15
allan-kaprow,abstract expressionism,3
allan-ramsay,rococo,44
allen-jones,pop art,9
alma-woodsey-thomas,color field painting,25
alonzo-cano,baroque,22
alonzo-chappel,romanticism,3
alphonse-allais,abstract art,7
alphonse-mucha,art nouveau (modern),40
alvaro-lapa,abstract expressionism,22
alvaro-pires-de-evora,early renaissance,2
amadeo-de-souza-cardoso,cubism,21
amedeo-modigliani,expressionism,345
amrita-sher-gil,post-impressionism,20
anatol-petrytsky,cubism,4
anatoli-papian,expressionism,1
anders-zorn,realism,87
andr-lhote,cubism,17
andranik-avetisyan-ado,neo-expressionism,5
andre-bauchant,naïve art (primitivism),22
andre-derain,expressionism,26
andre-dunoyer-de-segonzac,impressionism,29
andre-lanskoy,art informel,9
andre-masson,surrealism,65
andre-merez,cubism,2
andre-pierre-arnal,art informel,40
andrea-del-castagno,early renaissance,40
andrea-del-sarto,high renaissance,47
andrea-del-verrochio,early renaissance,16
andrea-mantegna,early renaissance,77
andrea-solario,high renaissance,18
