,APE\_Custom\_FSL1\_RN50,APE\_Custom\_FSL4\_RN50,APE\_RN50,GDA\_CLIP\_Custom\_FSL1\_RN50,GDA\_CLIP\_Custom\_FSL4\_RN50,GDA\_CLIP\_RN50,TIMO\_Custom\_FSL1\_RN50,TIMO\_Custom\_FSL4\_RN50,TIMO\_RN50,TIMO\_S\_Custom\_FSL1\_RN50,TIMO\_S\_Custom\_FSL4\_RN50,TIMO\_S\_RN50,Tip\_Adapter\_Custom\_FSL1\_RN50,Tip\_Adapter\_Custom\_FSL4\_RN50,Tip\_Adapter\_RN50
APE\_Custom\_FSL1\_RN50,0.00,-0.67,-49.27*,-22.54*,-30.55*,-50.92*,-17.16*,-18.81*,-51.87*,-18.62*,-21.74*,-52.66*,3.24*,3.33*,-40.34*
APE\_Custom\_FSL4\_RN50,0.67,0.00,-48.59*,-21.87*,-29.88*,-50.24*,-16.48*,-18.13*,-51.19*,-17.95*,-21.07*,-51.99*,3.91*,4.01*,-39.66*
APE\_RN50,49.27*,48.59*,0.00,26.73*,18.72*,-1.65,32.11*,30.46*,-2.60*,30.64*,27.52*,-3.39*,52.51*,52.60*,8.93*
GDA\_CLIP\_Custom\_FSL1\_RN50,22.54*,21.87*,-26.73*,0.00,-8.01*,-28.38*,5.38*,3.73*,-29.33*,3.91*,0.80,-30.12*,25.78*,25.87*,-17.80*
GDA\_CLIP\_Custom\_FSL4\_RN50,30.55*,29.88*,-18.72*,8.01*,0.00,-20.37*,13.39*,11.74*,-21.31*,11.93*,8.81*,-22.11*,33.79*,33.88*,-9.79*
GDA\_CLIP\_RN50,50.92*,50.24*,1.65,28.38*,20.37*,0.00,33.76*,32.11*,-0.95*,32.29*,29.17*,-1.74*,54.16*,54.25*,10.58*
TIMO\_Custom\_FSL1\_RN50,17.16*,16.48*,-32.11*,-5.38*,-13.39*,-33.76*,0.00,-1.65,-34.71*,-1.47*,-4.59*,-35.50*,20.40*,20.49*,-23.18*
TIMO\_Custom\_FSL4\_RN50,18.81*,18.13*,-30.46*,-3.73*,-11.74*,-32.11*,1.65,0.00,-33.06*,0.18,-2.94*,-33.85*,22.05*,22.14*,-21.53*
TIMO\_RN50,51.87*,51.19*,2.60*,29.33*,21.31*,0.95*,34.71*,33.06*,0.00,33.24*,30.12*,-0.80,55.11*,55.20*,11.53*
TIMO\_S\_Custom\_FSL1\_RN50,18.62*,17.95*,-30.64*,-3.91*,-11.93*,-32.29*,1.47*,-0.18,-33.24*,0.00,-3.12*,-34.04*,21.87*,21.96*,-21.71*
TIMO\_S\_Custom\_FSL4\_RN50,21.74*,21.07*,-27.52*,-0.80,-8.81*,-29.17*,4.59*,2.94*,-30.12*,3.12*,0.00,-30.92*,24.98*,25.08*,-18.59*
TIMO\_S\_RN50,52.66*,51.99*,3.39*,30.12*,22.11*,1.74*,35.50*,33.85*,0.80,34.04*,30.92*,0.00,55.90*,55.99*,12.32*
Tip\_Adapter\_Custom\_FSL1\_RN50,-3.24*,-3.91*,-52.51*,-25.78*,-33.79*,-54.16*,-20.40*,-22.05*,-55.11*,-21.87*,-24.98*,-55.90*,0.00,0.09,-43.58*
Tip\_Adapter\_Custom\_FSL4\_RN50,-3.33*,-4.01*,-52.60*,-25.87*,-33.88*,-54.25*,-20.49*,-22.14*,-55.20*,-21.96*,-25.08*,-55.99*,-0.09,0.00,-43.67*
Tip\_Adapter\_RN50,40.34*,39.66*,-8.93*,17.80*,9.79*,-10.58*,23.18*,21.53*,-11.53*,21.71*,18.59*,-12.32*,43.58*,43.67*,0.00
