DATASET,MODEL,BACKBONE,ACC,PRECISION_MACRO,RECALL_MACRO,F1_MACRO
artgraph,APE,Custom_FSL1_RN50,6.72782874617737,3.34609941352099,6.545138888888888,3.3733938590727286
artgraph,APE,Custom_FSL4_RN50,7.981651376146789,5.6257706027443595,7.873263888888888,5.130237822392136
artgraph,APE,RN50,62.171253822629964,63.6503351972102,61.953125,58.358082311207305
artgraph,GDA_CLIP,Custom_FSL1_RN50,41.19266055045872,42.446469907407405,40.998263888888886,39.13487380674881
artgraph,GDA_CLIP,Custom_FSL4_RN50,53.36391437308869,55.245949074074076,52.86458333333333,51.63714294964294
artgraph,GDA_CLIP,RN50,73.05810397553516,76.11747685185185,72.578125,71.62958627021126
artgraph,TIMO,Custom_FSL1_RN50,37.00305810397553,37.829184704184705,36.86631944444444,34.895924677174676
artgraph,TIMO,Custom_FSL4_RN50,43.272171253822634,45.16159188034188,42.80381944444444,41.36078848303113
artgraph,TIMO,RN50,73.36391437308869,76.58767823611574,72.94270833333334,72.09026308658662
artgraph,TIMO_S,Custom_FSL1_RN50,39.20489296636086,40.51699284511784,39.010416666666664,37.22008257945758
artgraph,TIMO_S,Custom_FSL4_RN50,48.74617737003058,50.57601686507937,48.27256944444444,46.89754285066785
artgraph,TIMO_S,RN50,73.45565749235473,76.51931980056979,73.03819444444444,72.10209673904527
artgraph,Tip_Adapter,Custom_FSL1_RN50,2.6299694189602447,0.7026781467332934,2.5954861111111107,0.7417941859255347
artgraph,Tip_Adapter,Custom_FSL4_RN50,1.7737003058103977,0.07107542388663854,1.6927083333333333,0.13072206096450423
artgraph,Tip_Adapter,RN50,52.90519877675841,51.89539511414512,52.369791666666664,46.3837157863135
