ACCURACY
BACKBONE,SHOTS,APE,GDA_CLIP,TIMO,TIMO_S,Tip_Adapter
RN101,1,42.354740061162076,41.681957186544345,45.90214067278288,45.90214067278288,38.53211009174312
RN101,2,47.73700305810398,46.88073394495413,47.522935779816514,49.20489296636086,41.13149847094802
RN101,4,52.41590214067278,55.657492354740064,57.88990825688073,58.25688073394495,45.50458715596331
RN101,8,57.30886850152905,64.06727828746178,64.61773700305811,65.01529051987768,49.78593272171254
RN101,16,59.1131498470948,71.28440366972477,71.131498470948,71.31498470948011,54.189602446483185
RN50,1,44.31192660550458,41.406727828746185,43.883792048929664,45.963302752293586,38.654434250764524
RN50,2,47.09480122324159,47.217125382263,47.88990825688073,48.65443425076453,40.73394495412844
RN50,4,53.883792048929664,55.535168195718654,56.48318042813455,57.2782874617737,44.95412844036697
RN50,8,58.103975535168196,63.608562691131496,65.25993883792049,65.07645259938838,48.440366972477065
RN50,16,62.171253822629964,73.05810397553516,73.36391437308869,73.45565749235473,52.90519877675841
ViT-B/16,1,50.8868501529052,48.92966360856269,52.38532110091743,53.57798165137615,47.06422018348624
ViT-B/16,2,54.77064220183486,55.535168195718654,54.434250764526,56.20795107033639,49.14373088685015
ViT-B/16,4,60.21406727828746,63.149847094801224,64.25076452599389,64.74006116207951,52.59938837920489
ViT-B/16,8,63.82262996941896,70.73394495412843,71.40672782874618,71.34556574923548,58.1651376146789
ViT-B/16,16,68.47094801223241,77.70642201834862,78.10397553516819,78.01223241590215,62.69113149847095
ViT-B/32,1,45.50458715596331,43.36391437308869,47.522935779816514,48.13455657492355,41.37614678899082
ViT-B/32,2,48.13455657492355,47.3394495412844,49.48012232415902,49.357798165137616,42.50764525993884
ViT-B/32,4,54.98470948012233,56.666666666666664,59.32721712538226,59.44954128440368,45.90214067278288
ViT-B/32,8,59.87767584097859,63.45565749235474,64.46483180428135,64.434250764526,50.0
ViT-B/32,16,62.8440366972477,70.42813455657492,71.28440366972477,71.28440366972477,56.91131498470948

PRECISION_MACRO
BACKBONE,SHOTS,APE,GDA_CLIP,TIMO,TIMO_S,Tip_Adapter
RN101,1,43.05135379900868,40.255692117024786,46.962843869093874,45.897433485421125,35.89954348624519
RN101,2,50.0695614656528,48.5759032360393,49.0394007034632,50.435037933199695,38.65352921352026
RN101,4,56.03590620819239,59.27504234438735,61.51508474164724,61.757158350908355,44.32104039688994
RN101,8,60.83930218236285,66.49949616355866,67.57454004329006,67.76104797979798,49.85838001468845
RN101,16,62.74830031080031,73.71490575396825,73.55195932539682,73.5905257936508,55.84780397674651
RN50,1,44.419927192905135,38.86063532074466,44.3172037147221,44.472965965564654,30.849328670644944
RN50,2,47.769854073622454,47.89951399873275,48.42613078657406,48.7832323756037,32.99438541979177
RN50,4,54.925460304838204,58.23556564962816,59.137366973304474,59.7717511076886,39.15567157640977
RN50,8,58.93553408397158,67.18288297010723,68.42943948412699,68.2510333994709,45.25988407876953
RN50,16,63.6503351972102,76.11747685185185,76.58767823611574,76.51931980056979,51.89539511414512
ViT-B/16,1,53.06164146830265,48.31639212081022,53.38168602231102,54.10456094831095,43.101542041424494
ViT-B/16,2,57.12861586495004,57.81490153365153,55.799199642949645,57.718036593036594,47.71252612286378
ViT-B/16,4,62.98829787111036,66.03974237567988,66.32724942881194,67.12920499639249,52.45289975565227
ViT-B/16,8,66.83949990981242,73.74673445767196,74.20258763227513,74.08316798941799,59.642196440631515
ViT-B/16,16,71.46413915945166,80.36995701058201,80.62251984126983,80.42427248677248,65.81936235061235
ViT-B/32,1,44.49598720485669,40.33418190265617,46.15219719516595,46.50982929107929,37.24655006111807
ViT-B/32,2,49.20309281200825,46.704966597550765,50.1168617642713,49.685001919376916,38.206107919464145
ViT-B/32,4,55.54039002085877,58.022387334887334,60.5360833123991,60.76066313520357,41.82590392654731
ViT-B/32,8,61.41135687229437,66.19184027777779,67.0110367063492,66.9660330988456,47.78336998649498
ViT-B/32,16,63.81056472462723,72.49340879028378,73.50190145502646,73.33304398148148,56.986363462925965

RECALL_MACRO
BACKBONE,SHOTS,APE,GDA_CLIP,TIMO,TIMO_S,Tip_Adapter
RN101,1,42.03125,41.25868055555555,45.47743055555556,45.46875,38.081597222222214
RN101,2,47.421875,46.31944444444444,46.979166666666664,48.68923611111111,40.77256944444444
RN101,4,52.41319444444444,55.3125,57.46527777777777,57.78645833333333,45.12152777777777
RN101,8,57.25694444444444,63.628472222222214,64.22743055555556,64.64409722222221,49.52256944444444
RN101,16,58.97569444444444,70.72916666666666,70.52083333333334,70.703125,54.07118055555556
RN50,1,43.94097222222222,40.76388888888889,43.51562499999999,45.53819444444444,38.37673611111111
RN50,2,46.64930555555556,46.41493055555555,47.31770833333333,47.951388888888886,40.32986111111111
RN50,4,53.71527777777777,54.96527777777777,55.90277777777777,56.744791666666664,44.375
RN50,8,57.96875,63.19444444444444,64.93055555555556,64.74826388888889,47.99479166666667
RN50,16,61.953125,72.578125,72.94270833333334,73.03819444444444,52.369791666666664
ViT-B/16,1,50.416666666666664,48.26388888888889,51.744791666666664,52.760416666666664,46.467013888888886
ViT-B/16,2,54.35763888888889,54.887152777777786,53.68923611111111,55.503472222222214,48.44618055555556
ViT-B/16,4,59.947916666666664,62.760416666666664,63.73263888888889,64.23611111111111,52.005208333333336
ViT-B/16,8,63.550347222222214,70.46006944444444,71.09375,71.06770833333333,57.734375
ViT-B/16,16,68.125,77.34375,77.75173611111111,77.56944444444443,61.91840277777777
ViT-B/32,1,44.947916666666664,42.717013888888886,46.796875,47.38715277777777,40.95486111111111
ViT-B/32,2,47.717013888888886,46.5625,48.72395833333333,48.697916666666664,42.10069444444444
ViT-B/32,4,54.51388888888889,56.03298611111111,58.68923611111111,58.784722222222214,45.347222222222214
ViT-B/32,8,59.583333333333336,63.090277777777786,64.14930555555556,64.08854166666667,49.40104166666667
ViT-B/32,16,62.369791666666664,69.74826388888889,70.76388888888889,70.72048611111111,56.041666666666664

F1_MACRO
BACKBONE,SHOTS,APE,GDA_CLIP,TIMO,TIMO_S,Tip_Adapter
RN101,1,38.22480832517401,35.92247954009474,41.82578425455264,41.38888866629744,32.543459168991355
RN101,2,44.15010495593747,42.21386966248248,44.38232820885685,45.60103994249215,35.061724463608776
RN101,4,49.124615475394094,52.796017736828766,55.09538485322154,55.41959194808459,39.507916497388386
RN101,8,53.94211276912515,61.86328598552863,62.6860992017242,63.04887936137936,43.94208926205231
RN101,16,55.59800859203433,69.58837574462575,69.40211524586525,69.57427641802641,49.02615712230566
RN50,1,39.75858247986247,35.32592723652289,40.291962922018065,41.068853859594746,30.917586834729537
RN50,2,42.37257063040732,42.46836105001656,43.723073312257746,43.98020758892953,32.581819715473515
RN50,4,49.72670853363388,52.661093502086146,53.95745567427068,54.54884865270894,37.18713264738134
RN50,8,54.03185332505185,61.57093196155696,63.66344477281977,63.454451220076216,41.19705450508932
RN50,16,58.358082311207305,71.62958627021126,72.09026308658662,72.10209673904527,46.3837157863135
ViT-B/16,1,46.86134621487735,43.44192866754061,48.77821810452905,49.376949866300784,40.265990582989424
ViT-B/16,2,51.217461035016186,51.642804820702466,50.99345978436052,52.442428503549834,42.90267840819312
ViT-B/16,4,57.061529981349054,60.658542964173776,61.60608026233026,62.13342964905464,46.927358946200854
ViT-B/16,8,60.74658443408443,69.19408542846043,69.86315767565767,69.7550609113109,53.409287271322874
ViT-B/16,16,65.6820766039516,76.49890445202945,76.9664797008547,76.60665607540606,58.83030334317099
ViT-B/32,1,40.71803339992194,36.725527141703616,42.78675947232448,42.98310193346958,34.796268284948624
ViT-B/32,2,43.91984343271108,41.871811822687405,45.341659391412676,45.2947052177412,35.742660825823094
ViT-B/32,4,50.561446845817,52.93884228856656,55.79287928506678,55.84903695841196,39.00138294439765
ViT-B/32,8,56.005300833425835,61.37481430266357,62.30416747604247,62.29904297091797,43.660447463756284
ViT-B/32,16,58.52284058534059,67.89625652125652,69.09418532856033,68.97160709660709,51.17863151962416
